X_47,Y_47,Escala_47,X_100,Y_100,Escala_100,X_200,Y_200,Escala_200,X_2k,Y_2k,Escala_2k,X_560k,Y_560k,Escala_560k
0,0,20mA,0,0,20mA,0,0,20mA,0,0,20mA,0,0,µA
"10,91","0,5",20mA,"5,14","0,5",20mA,"2,58","0,5",20mA,"0,25","0,5",20mA,"0,9","0,5",µA
"21,6",1,200mA,"10,35",1,20mA,"5,13",1,20mA,"0,51",1,20mA,"1,9",1,µA
"32,5","1,5",200mA,"15,43","1,5",20mA,"7,68","1,5",20mA,"0,77","1,5",20mA,"2,8","1,5",µA
"42,1",2,200mA,"20,8",2,200mA,"10,19",2,20mA,"1,03",2,20mA,"3,7",2,µA
"50,1","2,5",200mA,"25,8","2,5",200mA,"12,74","2,5",20mA,"1,29","2,5",20mA,"4,7","2,5",µA
61,3,200mA,"30,9",3,200mA,"15,26",3,20mA,"1,54",3,20mA,"5,6",3,µA
"75,6","3,5",200mA,"36,1","3,5",200mA,"17,81","3,5",20mA,"1,8","3,5",20mA,"6,5","3,5",µA
"86,2",4,200mA,"41,3",4,200mA,"20,5",4,200mA,"2,05",4,20mA,"7,4",4,µA
"97,1","4,5",200mA,"46,3","4,5",200mA,"23,1","4,5",200mA,"2,31","4,5",20mA,"8,3","4,5",µA
108,5,200mA,"51,4",5,200mA,"25,7",5,200mA,"2,57",5,20mA,"9,3",5,µA
,,,,,,,,,"2,83","5,5",20mA,"10,2","5,5",µA